V1,V2,V3
-98.1,27.027639751,29
-98.049375,27.027639751,24
-97.99875,27.027639751,20
-97.948125,27.027639751,19
-97.8975,27.027639751,15
-97.846875,27.027639751,11
-97.79625,27.027639751,10
-97.745625,27.027639751,10
-97.695,27.027639751,8
-97.644375,27.027639751,8
-97.59375,27.027639751,4
-97.543125,27.027639751,1
-97.4925,27.027639751,1
-97.441875,27.027639751,0
-97.39125,27.027639751,-10
-97.340625,27.027639751,-16
-97.29,27.027639751,-23
-97.239375,27.027639751,-26
-97.18875,27.027639751,-30
-97.138125,27.027639751,-32
-97.0875,27.027639751,-37
-97.036875,27.027639751,-40
-96.98625,27.027639751,-46
-96.935625,27.027639751,-50
-96.885,27.027639751,-59
-96.834375,27.027639751,-64
-96.78375,27.027639751,-74
-96.733125,27.027639751,-79
-96.6825,27.027639751,-90
-96.631875,27.027639751,-95
-96.58125,27.027639751,-110
-96.530625,27.027639751,-124
-96.48,27.027639751,-170
-96.429375,27.027639751,-206
-96.37875,27.027639751,-315
-96.328125,27.027639751,-372
-96.2775,27.027639751,-478
-96.226875,27.027639751,-527
-96.17625,27.027639751,-497
-96.125625,27.027639751,-561
-96.075,27.027639751,-793
-96.024375,27.027639751,-805
-95.97375,27.027639751,-811
-95.923125,27.027639751,-758
-95.8725,27.027639751,-861
-95.821875,27.027639751,-933
-95.77125,27.027639751,-980
-95.720625,27.027639751,-991
-95.67,27.027639751,-1119
-95.619375,27.027639751,-1159
-95.56875,27.027639751,-1239
-95.518125,27.027639751,-1306
-95.4675,27.027639751,-1245
-95.416875,27.027639751,-1216
-95.36625,27.027639751,-1306
-95.315625,27.027639751,-1403
-95.265,27.027639751,-1465
-95.214375,27.027639751,-1437
-95.16375,27.027639751,-1413
-95.113125,27.027639751,-1453
-95.0625,27.027639751,-1481
-95.011875,27.027639751,-1445
-94.96125,27.027639751,-1344
-94.910625,27.027639751,-1476
-94.86,27.027639751,-1499
-94.809375,27.027639751,-1505
-94.75875,27.027639751,-1499
-94.708125,27.027639751,-1434
-94.6575,27.027639751,-1418
-94.606875,27.027639751,-1272
-94.55625,27.027639751,-1198
-94.505625,27.027639751,-1151
-94.455,27.027639751,-1171
-94.404375,27.027639751,-1206
-94.35375,27.027639751,-1236
-94.303125,27.027639751,-1789
-94.2525,27.027639751,-1849
-94.201875,27.027639751,-1892
-94.15125,27.027639751,-1790
-94.100625,27.027639751,-1145
-94.05,27.027639751,-1083
-93.999375,27.027639751,-1073
-93.94875,27.027639751,-1005
-93.898125,27.027639751,-1130
-93.8475,27.027639751,-1271
-93.796875,27.027639751,-1190
-93.74625,27.027639751,-1196
-93.695625,27.027639751,-1190
-93.645,27.027639751,-1237
-93.594375,27.027639751,-1279
-93.54375,27.027639751,-1189
-93.493125,27.027639751,-1137
-93.4425,27.027639751,-1118
-93.391875,27.027639751,-1310
-93.34125,27.027639751,-1399
-93.290625,27.027639751,-1263
-93.24,27.027639751,-1285
-93.189375,27.027639751,-1284
-93.13875,27.027639751,-1416
-93.088125,27.027639751,-1475
-93.0375,27.027639751,-1448
-92.986875,27.027639751,-1222
-92.93625,27.027639751,-1213
-92.885625,27.027639751,-1470
-92.835,27.027639751,-1635
-92.784375,27.027639751,-1486
-92.73375,27.027639751,-1356
-92.683125,27.027639751,-1510
-92.6325,27.027639751,-1484
-92.581875,27.027639751,-1417
-92.53125,27.027639751,-1442
-92.480625,27.027639751,-1398
-92.43,27.027639751,-1657
-92.379375,27.027639751,-1906
-92.32875,27.027639751,-2043
-92.278125,27.027639751,-1851
-92.2275,27.027639751,-1357
-92.176875,27.027639751,-1503
-92.12625,27.027639751,-2005
-92.075625,27.027639751,-2065
-92.025,27.027639751,-1699
-91.974375,27.027639751,-1458
-91.92375,27.027639751,-1751
-91.873125,27.027639751,-1774
-91.8225,27.027639751,-1559
-91.771875,27.027639751,-1578
-91.72125,27.027639751,-1671
-91.670625,27.027639751,-1708
-91.62,27.027639751,-2025
-91.569375,27.027639751,-1891
-91.51875,27.027639751,-2187
-91.468125,27.027639751,-1990
-91.4175,27.027639751,-1808
-91.366875,27.027639751,-1827
-91.31625,27.027639751,-2135
-91.265625,27.027639751,-2305
-91.215,27.027639751,-1975
-91.164375,27.027639751,-1722
-91.11375,27.027639751,-1759
-91.063125,27.027639751,-1863
-91.0125,27.027639751,-1869
-90.961875,27.027639751,-1700
-90.91125,27.027639751,-1669
-90.860625,27.027639751,-1722
-90.81,27.027639751,-1662
-90.759375,27.027639751,-1660
-90.70875,27.027639751,-1633
-90.658125,27.027639751,-1613
-90.6075,27.027639751,-1541
-90.556875,27.027639751,-1518
-90.50625,27.027639751,-1535
-90.455625,27.027639751,-1578
-90.405,27.027639751,-2113
-90.354375,27.027639751,-2295
-90.30375,27.027639751,-2045
-90.253125,27.027639751,-1910
-90.2025,27.027639751,-2362
-90.151875,27.027639751,-2367
-90.10125,27.027639751,-2399
-90.050625,27.027639751,-2429
-90,27.027639751,-2442
-98.1,26.977044951548,31
-98.049375,26.977044951548,25
-97.99875,26.977044951548,16
-97.948125,26.977044951548,14
-97.8975,26.977044951548,13
-97.846875,26.977044951548,12
-97.79625,26.977044951548,10
-97.745625,26.977044951548,10
-97.695,26.977044951548,7
-97.644375,26.977044951548,6
-97.59375,26.977044951548,3
-97.543125,26.977044951548,0
-97.4925,26.977044951548,0
-97.441875,26.977044951548,0
-97.39125,26.977044951548,-10
-97.340625,26.977044951548,-16
-97.29,26.977044951548,-22
-97.239375,26.977044951548,-26
-97.18875,26.977044951548,-30
-97.138125,26.977044951548,-32
-97.0875,26.977044951548,-37
-97.036875,26.977044951548,-39
-96.98625,26.977044951548,-46
-96.935625,26.977044951548,-50
-96.885,26.977044951548,-60
-96.834375,26.977044951548,-64
-96.78375,26.977044951548,-74
-96.733125,26.977044951548,-80
-96.6825,26.977044951548,-90
-96.631875,26.977044951548,-97
-96.58125,26.977044951548,-112
-96.530625,26.977044951548,-127
-96.48,26.977044951548,-179
-96.429375,26.977044951548,-219
-96.37875,26.977044951548,-354
-96.328125,26.977044951548,-413
-96.2775,26.977044951548,-527
-96.226875,26.977044951548,-574
-96.17625,26.977044951548,-511
-96.125625,26.977044951548,-540
-96.075,26.977044951548,-813
-96.024375,26.977044951548,-832
-95.97375,26.977044951548,-783
-95.923125,26.977044951548,-758
-95.8725,26.977044951548,-799
-95.821875,26.977044951548,-923
-95.77125,26.977044951548,-979
-95.720625,26.977044951548,-987
-95.67,26.977044951548,-1074
-95.619375,26.977044951548,-1206
-95.56875,26.977044951548,-1298
-95.518125,26.977044951548,-1374
-95.4675,26.977044951548,-1317
-95.416875,26.977044951548,-1263
-95.36625,26.977044951548,-1449
-95.315625,26.977044951548,-1511
-95.265,26.977044951548,-1513
-95.214375,26.977044951548,-1446
-95.16375,26.977044951548,-1407
-95.113125,26.977044951548,-1483
-95.0625,26.977044951548,-1502
-95.011875,26.977044951548,-1426
-94.96125,26.977044951548,-1427
-94.910625,26.977044951548,-1493
-94.86,26.977044951548,-1497
-94.809375,26.977044951548,-1499
-94.75875,26.977044951548,-1499
-94.708125,26.977044951548,-1468
-94.6575,26.977044951548,-1451
-94.606875,26.977044951548,-1302
-94.55625,26.977044951548,-1216
-94.505625,26.977044951548,-1215
-94.455,26.977044951548,-1239
